Year,Coal,Petroleum,Natural Gas
1990,3560469.0,7382393.0,697643.0
1991,3560086.0,6931450.0,726004.0
1992,3577980.0,4730747.0,665587.0
1993,3379863.0,3882773.0,607420.0
1994,3501436.0,3214054.0,1011654.0
1995,3747821.0,3241034.0,1674214.0
1996,3851204.0,4971384.0,1245727.0
1997,4208405.0,7325174.0,1762233.0
1998,3035918.0,7541986.0,1524230.0
1999,1432198.0,7368402.0,2099213.0
2000,3370556.0,5858878.0,2241028.0
2001,3719471.0,4345965.0,2086323.0
2002,3189678.0,1997233.0,3971709.0
2003,3982438.0,1890240.0,2523947.0
2004,4200071.0,1685174.0,3320973.0
2005,4014805.0,2897772.0,3552676.0
2006,4370556.0,1257381.0,4362576.0
2007,3810917.0,1225440.0,4264849.0
2008,4325911.0,504367.0,3484845.0
2009,2489432.0,301495.0,4120233.0
2010,2728778.0,410456.0,4904011.0
2011,588284.0,186688.0,6287597.0
2012,871705.0,124739.0,6799016.0
2013,746144.0,257705.0,6607353.0
2014,884229.0,440612.0,6160882.0
2015,635298.0,344957.0,7188559.0
2016,227474.0,95912.0,7340885.0
2017,243679.0,157029.0,6630077.0
2018,391072.0,276905.0,8152947.0
2019,84265.0,40501.0,8580093.0
2020,6481.0,60457.0,9272164.0
2021,279698.0,77109.0,9580681.0
2022,0.0,300219.0,9614106.0
2023,0.0,126221.0,9815275.0
2024,0.0,81131.0,10214445.0
