YEAR,Coal,Petroleum,Natural Gas,Nuclear,Renewables,Total
1990,3594645.0,8874466.0,1251479.0,19776250.0,1643929.0,35147247.0
1991,3633427.0,7993224.0,1571856.0,12242911.0,1595959.0,27036467.0
1992,3717996.0,5483841.0,1471825.0,16770708.0,1760890.0,29211380.0
1993,3508317.0,4384501.0,1383916.0,21801782.0,1810309.0,32884571.0
1994,3622776.0,3543562.0,1898585.0,20159938.0,1951261.0,31178917.0
1995,3857555.0,3579463.0,3019243.0,18748900.0,2279642.0,31472468.0
1996,3942334.0,5395345.0,1949243.0,6225233.0,2698792.0,20211398.0
1997,4159144.0,8508709.0,2595364.0,-124722.0,2543194.0,17674298.0
1998,3016247.0,8665082.0,2257468.0,3243003.0,2509364.0,19691492.0
1999,1486067.0,8268315.0,3601593.0,12675262.0,2527939.0,28596898.0
2000,3186096.0,6679032.0,4062029.0,16365334.0,2679447.0,32967570.0
2001,3735782.0,5172935.0,4088228.0,15427767.0,1195297.0,30490646.0
2002,3227202.0,2337885.0,8868470.0,14918272.0,1156434.0,31311219.0
2003,4200297.0,2062669.0,5061613.0,16078095.0,1350277.0,29545050.0
2004,4255072.0,1740112.0,8107806.0,16539097.0,1220431.0,32633408.0
2005,3996492.0,3155842.0,8863892.0,15562122.0,1231534.0,33549747.0
2006,4281516.0,1278834.0,10484481.0,16589446.0,1307212.0,34681736.0
2007,3738723.0,1311259.0,9929559.0,16386142.0,1093101.0,33171209.0
2008,4386608.0,513850.0,8069852.0,15432946.0,1289691.0,30409473.0
2009,2453497.0,298878.0,9809351.0,16657382.0,1268276.0,31206222.0
2010,2604399.0,408932.0,11715672.0,16750304.0,1130327.0,33349623.0
2011,525806.54,165810.01,15188145.26,15927837.0,1227150.6400000001,33745220.61
2012,652886.0,111733.0,16537169.0,17077887.0,978666.0,36117544.0
2013,680652.53,306052.07,15780297.04,17079582.0,1054017.7799999998,35610789.32
2014,824948.0,513414.0,14683905.0,15840619.0,1202806.0,33676980.0
2015,600469.0,436792.0,17362309.0,17410917.0,1107374.0,37470622.0
2016,177370.0,91735.0,17951503.0,16575492.0,1117475.0,36496560.0
2017,197509.0,178437.0,15961257.0,16499621.0,1177147.0,34562654.0
2018,329701.0,338957.0,20006457.0,16881492.0,1428739.0,39453552.0
2019,53052.0,12196.0,21343095.0,16733398.0,1327955.0,40050038.0
2020,-19082.0,32587.0,23536813.0,15714855.0,1333572.0,41190572.0
2021,244647.0,45950.0,24488902.0,17216509.0,1512371.0,44079943.0
2022,0.0,314369.0,24530687.0,16464167.0,1251873.0,43054099.0
2023,0.0,124204.0,24952021.0,13669458.0,1486880.0,40666418.0
2024,0.0,19556.0,26036343.0,16870305.0,1406593.0,44761412.0
