Year,CO2,SO2,NOx
1990,12103268,52235,31512
1991,11759800,49191,31096
1992,9757623,35029,23593
1993,8632695,29423,21739
1994,8510176,24703,20364
1995,9734994,26611,17491
1996,11302977,41179,21951
1997,14495967,53078,27804
1998,13336399,50659,26772
1999,12142470,44305,17928
2000,12651961,51721,18821
2001,11412481,33004,15522
2002,10380989,11923,10138
2003,9638570,8220,10047
2004,10406046,6521,9292
2005,11661195,7759,10520
2006,11168503,5404,8953
2007,10463410,5259,8475
2008,9450744,3872,7457
2009,8046088,1862,6483
2010,9201364,2032,7092
2011,8196023,880,6139
2012,8987089,7257,11750
2013,8726387,3187,8501
2014,8452346,1703,7613
2015,9049007,1309,6902
2016,8578640,570,6014
2017,7874198,670,5982
2018,9591484,883,6044
2019,9516510,393,5403
2020,10185591,445,5683
2021,10939621,680,5537
2022,10757018,981,5002
2023,10652967,465,4588
2024,11001595,313,4363
