Year,Coal,Petroleum,Natural Gas
1990,1592394845,119580059,233851696
1991,1592185733,111351473,238083789
1992,1617034324,96637586,248149359
1993,1687623000,108164346,250410787
1994,1697416377,102844232,276307880
1995,1720061974,77032254,298600549
1996,1812022096,84024468,277855797
1997,1858943977,93496582,293138809
1998,1887334542,123542122,327456493
1999,1894211126,115676803,343090003
2000,1986100025,108406832,363525987
2001,1920900914,117196140,367146309
2002,1938612535,91110013,378950255
2003,1973596638,112064783,345119349
2004,1989580492,115725813,367111654
2005,2028614228,117086423,383461173
2006,2001084930,67987931,404278097
2007,2029803815,67768771,434535888
2008,2001806441,47855415,419598752
2009,1781278291,41474254,432206349
2010,1873813270,38793361,461723338
2011,1767552818,31518721,473360630
2012,1552668100,25900133,563236325
2013,1611729706,30120753,515788793
2014,1607178260,32304156,514109520
2015,1385781816,29752826,601106178
2016,1265500155,26744893,621148811
2017,1226559572,23399620,585493489
2018,1170198341,27247875,660386130
2019,987720496,20604663,702725296
2020,797825215,19556185,722489825
2021,919308252,21223487,695926717
2022,868201231,24795239,742560206
2023,708887031,18132437,789926512
2024,686354372,16274463,820609513
