Year,CO2,SO2,NOx
1990,1953698942,15461524,7961276
1991,1950465707,15342434,7913120
1992,1972275109,15030302,7728355
1993,2057052600,14965892,7996658
1994,2088138401,14471944,7801077
1995,2108006095,12313856,6354985
1996,2186979641,12991297,6474173
1997,2259321520,13479681,6500391
1998,2351599517,13464481,6458698
1999,2366302296,12843369,5955499
2000,2470834445,11903806,5638125
2001,2418606723,11174367,5289879
2002,2423963090,10881432,5193632
2003,2445094300,10645809,4531725
2004,2486981558,10308805,4143036
2005,2543838163,10339543,3961097
2006,2488917751,9523561,3799447
2007,2547032486,9041697,3650010
2008,2484012111,7829798,3330223
2009,2269507628,5970324,2395450
2010,2388595915,5400450,2491024
2011,2287070730,4844990,2406411
2012,2156874777,3703970,2147726
2013,2172354965,3609480,2187733
2014,2168284275,3454057,2100363
2015,2031452263,2547773,1824048
2016,1928400912,1806733,1630197
2017,1849749801,1599330,1493437
2018,1872329524,1517246,1473582
2019,1724872686,1266691,1341545
2020,1553585818,1022757,1210942
2021,1651911306,1167825,1253110
2022,1650366513,1079129,1229802
2023,1531554273,848373,1117080
2024,1537072640,807686,1112395
