State,gas_share_start,gas_share_end,d_gas_pp,deliv_start_real,deliv_end_real,d_deliv_real
DE,18.43,92.56,74.13,0.93,2.11,1.18
VA,12.82,60.77,47.95,3.05,0.79,-2.26
PA,8.42,52.47,44.05,2.15,2.41,0.26
OH,1.62,44.01,42.39,4.29,3.83,-0.46
MD,3.9,39.11,35.21,2.32,3.75,1.43
CT,26.54,57.14,30.6,6.5,10.46,3.96
MA,50.62,77.84,27.22,5.65,8.08,2.43
MI,8.35,34.17,25.82,2.0,1.43,-0.57
NJ,32.59,50.13,17.54,3.97,4.13,0.16
IL,2.14,14.14,12.0,1.3,2.98,1.68
NY,31.25,40.92,9.67,5.69,6.72,1.03
WA,8.85,12.07,3.22,0.46,0.89,0.43
MT,0.22,1.25,1.02,0.76,0.63,-0.13
OR,29.61,29.89,0.28,1.03,2.14,1.11
NV,68.32,66.3,-2.02,0.26,0.71,0.45
RI,97.43,93.0,-4.43,4.81,8.61,3.8
NH,30.92,22.25,-8.67,4.16,7.72,3.56
CA,57.69,47.67,-10.02,4.89,11.4,6.51
ME,43.17,19.04,-24.13,5.27,4.63,-0.64
