State,Year,cents_nominal,gas_share,cents_real,tier
AK,2001,10.54,57.76548296604598,18.669012196499153,Other states
AK,2002,10.46,55.82947471859265,18.238949082823794,Other states
AK,2003,10.5,52.92039480451295,17.90073097826087,Other states
AK,2004,10.99,55.51693140670876,18.25009057702488,Other states
AK,2005,11.72,56.61880903358377,18.824552380952383,Other states
AK,2006,12.84,60.79727643640126,19.97900178571429,Other states
AK,2007,13.28,56.69721077457505,20.091394507625083,Other states
AK,2008,14.74,59.07852502363895,21.475668522965314,Other states
AK,2009,15.09,53.37687452655182,22.064105538904712,Other states
AK,2010,14.76,55.47720744614752,21.233305389441245,Other states
AK,2011,16.08,56.853645578367264,22.424386700394326,Other states
AK,2012,16.33,51.91217230057674,22.311303300608902,Other states
AK,2013,16.49,52.656600558915756,22.204662705992952,Other states
AK,2014,17.46,54.41195598750917,23.13551779197081,Other states
AK,2015,17.59,49.16060415561843,23.280142394849317,Other states
AK,2016,17.93,47.994801606431786,23.434498868782992,Other states
AK,2017,19.1,49.78660911807772,24.442966302219325,Other states
AK,2018,19.36,47.18637107296059,24.18498504621536,Other states
AK,2019,20.22,44.26057468460311,24.809770825754818,Other states
AK,2020,19.82,42.07416273012046,24.02261101730607,Other states
AK,2021,20.02,46.778064525127895,23.176195815034873,Other states
AK,2022,20.73,48.24192187541081,22.219927798944155,Other states
AK,2023,21.41,47.37257966678203,22.04147491647577,Other states
AK,2024,22.17,46.84527597763159,22.17,Other states
AL,2001,5.6,7.66897230369085,9.919019762845851,Other states
AL,2002,5.71,11.965080374632478,9.9564435241801,Other states
AL,2003,5.88,8.90526248322917,10.024409347826088,Other states
AL,2004,6.08,11.631935959472424,10.096501429327688,Other states
AL,2005,6.46,10.054072973755344,10.375990476190477,Other states
AL,2006,7.07,13.774201537152647,11.000898958333334,Other states
AL,2007,7.57,16.152665183122213,11.452700031831467,Other states
AL,2008,8.59,15.330729483283717,12.515331927562551,Other states
AL,2009,8.83,22.07040612093258,12.910937833567171,Other states
AL,2010,8.89,25.786976648491333,12.788894641743406,Other states
AL,2011,9.1,30.498461641099105,12.690417846616194,Other states
AL,2012,9.18,36.4373875317402,12.542422798505187,Other states
AL,2013,9.02,30.93941729743867,12.145910103581349,Other states
AL,2014,9.27,32.32217056374553,12.283290374087592,Other states
AL,2015,9.33,36.62473724717298,12.3481369268871,Other states
AL,2016,9.56,40.596676767395984,12.494914065006437,Other states
AL,2017,9.83,37.855140151860205,12.579809358681462,Other states
AL,2018,9.63,40.535800460607504,12.030031301397413,Other states
AL,2019,9.83,40.08802726318656,12.061327755547472,Other states
AL,2020,9.84,40.15320044961672,11.926462785584848,Other states
AL,2021,10.18,38.146573754006866,11.78489877108167,Other states
AL,2022,11.59,42.97114489299949,12.423008354547164,Other states
AL,2023,11.47,44.35641131767114,11.808300667537464,Other states
AL,2024,11.9,45.19885347183164,11.9,Other states
AR,2001,6.05,5.735925564557663,10.716083850931676,Other states
AR,2002,5.61,9.667714694587847,9.782074986103392,Other states
AR,2003,5.57,14.485518877851497,9.495911576086957,Other states
AR,2004,5.67,9.761207674557545,9.415651826363154,Other states
