State,tier,share_start,share_end,d_share_pp,real_start,real_end,d_real,d_real_pct
DE,Other states,23.142760445402576,87.63242799026173,64.48966754485916,12.04452399774139,13.559999999999999,1.515476002258609,12.58228222670148
OH,Gas-heavy contrast,0.6497991411004642,59.64177134847512,58.99197220737465,11.725698362507059,11.29,-0.4356983625070594,-3.7157561881363543
PA,Gas-heavy contrast,1.5445872698036565,59.59144251606742,58.04685524626376,14.187740767927725,12.51,-1.677740767927725,-11.825284908788037
FL,Other states,22.81794574682062,76.84798215789256,54.03003641107194,13.585514568040656,12.53,-1.0555145680406568,-7.769411771297275
VA,Other states,5.66235092892156,59.39522942933554,53.732878500413975,10.946346809712027,10.62,-0.3263468097120281,-2.981330807301674
MA,Restructured NE / ISO-NE,30.398856668647166,77.4709883723988,47.07213170375164,20.45797826086957,23.94,3.482021739130431,17.02036093073074
CT,CT,13.408138351676774,58.166938522850884,44.75880017117411,17.039458949745907,24.37,7.330541050254094,43.02097309470856
MS,Other states,33.21184351021093,77.61583787011787,44.40399435990694,11.088047092038398,10.93,-0.15804709203839806,-1.4253825829426803
NC,Other states,1.3058801651292367,41.124019670938466,39.81813950580923,11.654848221343874,11.65,-0.00484822134387386,-0.04159832244743367
IN,Other states,1.902313959832462,41.08703710270224,39.18472314286978,9.387643704121965,11.38,1.9923562958780359,21.223177601033406
AL,Other states,7.66897230369085,45.19885347183164,37.52988116814079,9.919019762845851,11.9,1.9809802371541494,19.971532313852247
GA,Other states,3.2673917477594836,40.72554750878486,37.458155761025374,11.318310050818747,11.4,0.0816899491812535,0.7217504098621541
WI,Other states,3.801624517125285,40.20685043267741,36.40522591555213,10.769221456804067,12.72,1.9507785431959341,18.114387850789516
MD,Other states,3.58892788236354,39.26652434835512,35.67759646599158,11.690273291925466,15.04,3.3497267080745328,28.653964064195204
AR,Other states,5.735925564557663,40.1759977709057,34.44007220634804,10.716083850931676,9.59,-1.1260838509316766,-10.508352366370977
AZ,Other states,14.316558662411094,47.480467632091425,33.163908969680335,12.87701315640881,12.74,-0.13701315640880907,-1.0640134846846672
MI,Other states,11.778299568485522,44.874589865434075,33.09629029694855,12.345637097684925,14.16,1.8143629023150751,14.696389404280374
LA,Other states,45.93326146449619,75.548288703087,29.615027238590805,12.32792456239413,8.8,-3.52792456239413,-28.617343856531463
UT,Other states,4.033265697451452,33.131670586242244,29.098404888790792,9.2282308865048,9.97,0.7417691134952005,8.038042422410019
NH,Restructured NE / ISO-NE,0.7862617336259928,26.094073954584807,25.307812220958816,19.395226143421795,20.6,1.204773856578207,6.2117030637811155
KY,Other states,0.6607028768458356,25.791065409656948,25.130362532811112,7.510114963297573,10.07,2.5598850367024273,34.085830233128966
MN,Other states,2.472170749735395,27.115958362611885,24.64378761287649,10.574383568605308,12.35,1.7756164313946918,16.79167792500347
NY,Restructured NE / ISO-NE,26.889020311002724,48.32404663213588,21.435026321133158,20.45797826086957,19.66,-0.79797826086957,-3.9005724353314064
SC,Other states,1.3191199671212057,22.69856055529491,21.379440588173704,10.220132862789384,10.9,0.679867137210616,6.652233844101518
TN,Other states,0.4733877009551332,21.641203723944376,21.167816022989243,9.901307227555055,10.9,0.9986927724449455,10.086473932104756
NJ,Restructured NE / ISO-NE,28.11822065031943,49.27084218768033,21.1526215373609,16.578933032185205,16.29,-0.2889330321852057,-1.7427721773427218
NV,Other states,33.988028562786965,54.90958429115067,20.921555728363707,13.922052738565784,11.47,-2.452052738565783,-17.612724104781595
OK,Other states,32.47780385144105,50.75246830403317,18.27466445259212,10.804646527385659,9.09,-1.7146465273856588,-15.869529123786542
ID,Other states,15.034715635842785,31.371642586500982,16.336926950658196,8.71456736307171,9.51,0.7954326369282896,9.127620497822564
NM,Other states,14.540413867896905,29.341554111975494,14.801140244078589,12.682175268210052,9.18,-3.5021752682100526,-27.61494139722882
OR,Other states,24.37846913735459,38.548311988220334,14.169842850865745,9.635619198193112,11.11,1.4743808018068876,15.301360208209204
IL,Other states,2.569769246220424,16.289311339231496,13.719542093011071,12.221649350649352,12.21,-0.011649350649351575,-0.09531733659772224
IA,Other states,1.458125176838739,13.85745982481758,12.39933464797884,10.875496668548843,9.34,-1.5354966685488431,-14.118864777821038
WY,Other states,1.3217563023179477,13.328841304718964,12.007085002401016,7.899790739695088,9.14,1.2402092603049129,15.699267248600336
CO,Other states,20.035383990298488,30.48859071748472,10.453206727186231,10.662946245059288,12.07,1.407053754940712,13.195731485495156
MO,Other states,4.869656401362285,13.606683203811967,8.737026802449682,10.680658780350086,11.06,0.3793412196499144,3.5516649998014405
WV,Other states,0.3370919351916881,7.4755758583813865,7.138483923189698,8.980255392433655,11.05,2.0697446075663457,23.04772545010487
SD,Other states,4.118545935185156,10.831356122467264,6.712810187282108,11.247459909655563,10.87,-0.3774599096555633,-3.3559569243854503
WA,Other states,11.28765230421694,17.67371635875728,6.3860640545403395,9.45849384528515,10.13,0.6715061547148515,7.099504061627981
ND,Other states,0.00836078722218515,5.7385131832905625,5.730152396068378,9.706469339356298,7.93,-1.7764693393562982,-18.301910584040513
KS,Other states,4.360590851233235,9.21708907638646,4.856498225153224,11.052622021456806,11.21,0.15737797854319524,1.4238972276231943
MT,Other states,0.08290111393858285,3.703469404455041,3.6205682905164585,11.477722868435913,10.83,-0.6477228684359133,-5.6433046507610936
NE,Other states,1.1439349675508244,3.710741237665849,2.5668062701150243,9.54705652173913,9.07,-0.4770565217391294,-4.996896380081628
TX,Gas-heavy contrast,51.02554618591687,51.75500049877962,0.7294543128627495,13.071851044607568,9.79,-3.281851044607569,-25.106245729149478
HI,Other states,0.0,0.0,0.0,24.88611208356861,38.0,13.113887916431391,52.695607382922674
VT,Restructured NE / ISO-NE,0.20070743898402624,0.047279837761096045,-0.1534276012229302,19.23581332580463,18.41,-0.8258133258046314,-4.2931032435047145
ME,Restructured NE / ISO-NE,51.3827803484632,43.66226053344422,-7.7205198150189815,18.68672473178995,19.66,0.973275268210049,5.208378044731976
RI,Restructured NE / ISO-NE,97.64376773219342,89.9170166963843,-7.72675103580913,20.280852907961606,24.15,3.869147092038393,19.077832227260473
AK,Other states,57.76548296604598,46.84527597763159,-10.920206988414392,18.669012196499153,22.17,3.5009878035008484,18.752935434673713
CA,Other states,56.36177401794069,40.45712473876692,-15.904649279173768,19.873464596273294,27.04,7.166535403726705,36.060825574774654
